Commercial,Ville,Région,Client,Date de commande,Article,Quantité,Prix,Chiffre d'affaire,Bénéfice
Patrick Graham,California,Ouest,Martha Bell,17/3/2016,Stuff,7,"16,32","114,24",21
Randy Watson,Minnesota,Est,Bobby Mitchell,17/3/2016,Stuff,5,"16,32","81,6",15
Patrick Graham,California,Ouest,Harry Torres,17/3/2016,Junk,5,"12,42","62,1",10
Sara Snyder,Indiana,Est,Michelle Henderson,17/3/2016,Stuff,5,"16,32","81,6",15
Randy Watson,Minnesota,Est,Joe Russell,17/3/2016,Junk,10,"12,42","124,2",20
Patrick Graham,Oregon,Ouest,Roger Bell,17/3/2016,Widgets,3,"53,35","160,05",18
Diane Gonzalez,Washington,Ouest,Joseph Willis,17/3/2016,Things,3,"17,83","53,49","10,5"
Randy Watson,Minnesota,Est,George Stone,17/3/2016,Things,10,"17,83","178,3",35
Sara Snyder,Minnesota,Est,Aaron Morris,18/3/2016,Junk,8,"12,42","99,36",16
Frances Warren,Indiana,Est,Robert Collins,18/3/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,Alabama,Est,Clarence Mason,18/3/2016,Junk,7,"12,42","86,94",14
Patrick Graham,California,Ouest,Joan Robinson,18/3/2016,Widgets,2,"53,35","106,7",12
Patrick Graham,Washington,Ouest,Mildred Hernandez,18/3/2016,Junk,8,"12,42","99,36",16
Randy Watson,Minnesota,Est,Amanda Bryant,18/3/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,Indiana,Est,Benjamin Spencer,18/3/2016,Junk,6,"12,42","74,52",12
Sara Snyder,Indiana,Est,Sean Weaver,18/3/2016,Junk,10,"12,42","124,2",20
Frances Warren,Indiana,Est,Kelly Daniels,18/3/2016,Junk,5,"12,42","62,1",10
Patrick Graham,Washington,Ouest,Ruth Day,18/3/2016,Junk,3,"12,42","37,26",6
Frances Warren,Alabama,Est,Benjamin Phillips,18/3/2016,Junk,1,"12,42","12,42",2
Sara Snyder,Minnesota,Est,George Stone,18/3/2016,Junk,8,"12,42","99,36",16
Patrick Graham,Washington,Ouest,Angela Sullivan,18/3/2016,Widgets,3,"53,35","160,05",18
Diane Gonzalez,Washington,Ouest,Judy Sanchez,18/3/2016,Junk,1,"12,42","12,42",2
Patrick Graham,California,Ouest,Joan Robinson,18/3/2016,Widgets,8,"53,35","426,8",48
Sara Snyder,New York,Est,Debra Allen,19/3/2016,Stuff,6,"16,32","97,92",18
Sara Snyder,Indiana,Est,Laura Wells,19/3/2016,Things,6,"17,83","106,98",21
Randy Watson,Alabama,Est,Ryan Arnold,19/3/2016,Junk,1,"12,42","12,42",2
Randy Watson,New York,Est,Jerry Pierce,19/3/2016,Junk,6,"12,42","74,52",12
Diane Gonzalez,Washington,Ouest,Phillip Mills,19/3/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,New York,Est,Harold Hunter,19/3/2016,Junk,2,"12,42","24,84",4
Diane Gonzalez,Washington,Ouest,Marilyn Carpenter,19/3/2016,Widgets,6,"53,35","320,1",36
Sara Snyder,New York,Est,Irene Wells,19/3/2016,Stuff,8,"16,32","130,56",24
Diane Gonzalez,Oregon,Ouest,Rose Matthews,19/3/2016,Junk,5,"12,42","62,1",10
Randy Watson,Minnesota,Est,Kevin Torres,19/3/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,New York,Est,Ralph Gomez,19/3/2016,Stuff,10,"16,32","163,2",30
Patrick Graham,Washington,Ouest,Carol Pierce,19/3/2016,Junk,1,"12,42","12,42",2
Patrick Graham,Washington,Ouest,Evelyn Lane,19/3/2016,Things,1,"17,83","17,83","3,5"
Diane Gonzalez,Washington,Ouest,Maria Romero,20/3/2016,Junk,7,"12,42","86,94",14
Patrick Graham,Washington,Ouest,Denise Henry,20/3/2016,Junk,6,"12,42","74,52",12
Frances Warren,Indiana,Est,Edward Wells,20/3/2016,Things,9,"17,83","160,47","31,5"
Randy Watson,Minnesota,Est,Theresa Ellis,20/3/2016,Junk,4,"12,42","49,68",8
Patrick Graham,California,Ouest,Frances Parker,20/3/2016,Widgets,3,"53,35","160,05",18
Frances Warren,New York,Est,Chris Gilbert,20/3/2016,Things,9,"17,83","160,47","31,5"
Patrick Graham,California,Ouest,Joan Robinson,20/3/2016,Widgets,1,"53,35","53,35",6
Sara Snyder,Minnesota,Est,Beverly Hamilton,20/3/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Indiana,Est,Keith Berry,20/3/2016,Things,9,"17,83","160,47","31,5"
Randy Watson,Minnesota,Est,Sandra Weaver,20/3/2016,Junk,8,"12,42","99,36",16
Sara Snyder,Minnesota,Est,Roger Gomez,20/3/2016,Widgets,3,"53,35","160,05",18
Patrick Graham,Oregon,Ouest,Brian Roberts,20/3/2016,Junk,3,"12,42","37,26",6
Patrick Graham,Washington,Ouest,Daniel Perez,20/3/2016,Junk,8,"12,42","99,36",16
Randy Watson,New York,Est,Katherine Mcdonald,20/3/2016,Junk,10,"12,42","124,2",20
Frances Warren,New York,Est,Joseph Boyd,20/3/2016,Things,7,"17,83","124,81","24,5"
Frances Warren,Alabama,Est,Ryan Arnold,20/3/2016,Stuff,5,"16,32","81,6",15
Patrick Graham,Washington,Ouest,Evelyn Lane,21/3/2016,Things,5,"17,83","89,15","17,5"
Randy Watson,Minnesota,Est,Ann Duncan,21/3/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Minnesota,Est,Lori Shaw,21/3/2016,Things,1,"17,83","17,83","3,5"
Sara Snyder,Minnesota,Est,Kevin Barnes,21/3/2016,Widgets,2,"53,35","106,7",12
Randy Watson,Alabama,Est,Cheryl Henderson,21/3/2016,Junk,2,"12,42","24,84",4
Frances Warren,Indiana,Est,Jacqueline Wheeler,21/3/2016,Junk,8,"12,42","99,36",16
Sara Snyder,New York,Est,Irene Wells,21/3/2016,Stuff,1,"16,32","16,32",3
Patrick Graham,Oregon,Ouest,Brian Roberts,21/3/2016,Things,9,"17,83","160,47","31,5"
Randy Watson,Minnesota,Est,Bruce Nelson,21/3/2016,Things,9,"17,83","160,47","31,5"
Sara Snyder,Minnesota,Est,Alice Davis,21/3/2016,Stuff,6,"16,32","97,92",18
Patrick Graham,California,Ouest,Jimmy Warren,21/3/2016,Widgets,6,"53,35","320,1",36
Patrick Graham,Washington,Ouest,Ryan Ramos,21/3/2016,Junk,9,"12,42","111,78",18
Frances Warren,New York,Est,Helen Dean,21/3/2016,Junk,3,"12,42","37,26",6
Patrick Graham,Nevada,Ouest,Kimberly Bennett,22/3/2016,Stuff,4,"16,32","65,28",12
Randy Watson,Minnesota,Est,Walter Meyer,22/3/2016,Stuff,1,"16,32","16,32",3
Sara Snyder,New York,Est,Craig Mcdonald,22/3/2016,Junk,2,"12,42","24,84",4
Diane Gonzalez,Oregon,Ouest,Gloria Mcdonald,22/3/2016,Junk,7,"12,42","86,94",14
Patrick Graham,Washington,Ouest,Kathy Schmidt,22/3/2016,Stuff,6,"16,32","97,92",18
Diane Gonzalez,Washington,Ouest,Annie Hunter,22/3/2016,Things,1,"17,83","17,83","3,5"
Sara Snyder,Minnesota,Est,Jennifer Reyes,22/3/2016,Junk,1,"12,42","12,42",2
Randy Watson,Alabama,Est,Betty Hicks,22/3/2016,Junk,9,"12,42","111,78",18
Randy Watson,New York,Est,Anthony Berry,22/3/2016,Junk,5,"12,42","62,1",10
Sara Snyder,Minnesota,Est,Steven Kelly,22/3/2016,Things,8,"17,83","142,64",28
Randy Watson,New York,Est,Nancy Scott,22/3/2016,Things,6,"17,83","106,98",21
Randy Watson,Minnesota,Est,Lori Shaw,22/3/2016,Junk,4,"12,42","49,68",8
Sara Snyder,New York,Est,Jane Sims,22/3/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,New York,Est,Frances Campbell,22/3/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Minnesota,Est,Cheryl Williamson,23/3/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,Minnesota,Est,Louise Green,23/3/2016,Stuff,7,"16,32","114,24",21
Diane Gonzalez,California,Ouest,Joan Robinson,23/3/2016,Things,9,"17,83","160,47","31,5"
Randy Watson,Indiana,Est,Emily Duncan,23/3/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Oregon,Ouest,Lois Fernandez,23/3/2016,Junk,1,"12,42","12,42",2
Randy Watson,New York,Est,Anthony Berry,23/3/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Minnesota,Est,Eugene Flores,23/3/2016,Widgets,4,"53,35","213,4",24
Patrick Graham,Washington,Ouest,Earl White,23/3/2016,Junk,7,"12,42","86,94",14
Sara Snyder,New York,Est,Phyllis Johnston,23/3/2016,Widgets,6,"53,35","320,1",36
Patrick Graham,Washington,Ouest,George Hill,23/3/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Minnesota,Est,Gregory Thompson,23/3/2016,Stuff,9,"16,32","146,88",27
Sara Snyder,Minnesota,Est,Craig Collins,23/3/2016,Things,5,"17,83","89,15","17,5"
Diane Gonzalez,Washington,Ouest,Paula Ross,23/3/2016,Junk,8,"12,42","99,36",16
Sara Snyder,Minnesota,Est,Mary Nelson,23/3/2016,Widgets,6,"53,35","320,1",36
Randy Watson,Minnesota,Est,Howard Adams,23/3/2016,Stuff,5,"16,32","81,6",15
Sara Snyder,New York,Est,Linda Rose,24/3/2016,Junk,3,"12,42","37,26",6
Randy Watson,Minnesota,Est,Gregory Thompson,24/3/2016,Junk,3,"12,42","37,26",6
Patrick Graham,Nevada,Ouest,Laura Mcdonald,24/3/2016,Widgets,4,"53,35","213,4",24
Randy Watson,Minnesota,Est,Howard Adams,24/3/2016,Junk,2,"12,42","24,84",4
Randy Watson,New York,Est,Marilyn Martin,24/3/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Indiana,Est,Arthur Simmons,24/3/2016,Widgets,6,"53,35","320,1",36
Patrick Graham,Washington,Ouest,Carol Pierce,24/3/2016,Things,9,"17,83","160,47","31,5"
Diane Gonzalez,California,Ouest,Andrew Adams,24/3/2016,Widgets,3,"53,35","160,05",18
Sara Snyder,New York,Est,Louis Marshall,24/3/2016,Things,10,"17,83","178,3",35
Diane Gonzalez,Oregon,Ouest,Clarence Bishop,24/3/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Minnesota,Est,Sean Carr,24/3/2016,Junk,8,"12,42","99,36",16
Sara Snyder,New York,Est,Lawrence Ruiz,25/3/2016,Widgets,5,"53,35","266,75",30
Patrick Graham,Washington,Ouest,Gloria Morris,25/3/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Washington,Ouest,George Hill,25/3/2016,Widgets,2,"53,35","106,7",12
Patrick Graham,Oregon,Ouest,Roger Bell,25/3/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,Minnesota,Est,Walter Kennedy,25/3/2016,Junk,7,"12,42","86,94",14
Frances Warren,Indiana,Est,Peter Brown,25/3/2016,Junk,4,"12,42","49,68",8
Sara Snyder,New York,Est,Raymond Collins,25/3/2016,Things,8,"17,83","142,64",28
Patrick Graham,California,Ouest,Jimmy Warren,25/3/2016,Widgets,3,"53,35","160,05",18
Diane Gonzalez,Washington,Ouest,Ernest Hernandez,25/3/2016,Things,9,"17,83","160,47","31,5"
Patrick Graham,Washington,Ouest,Cheryl Morris,25/3/2016,Stuff,3,"16,32","48,96",9
Sara Snyder,New York,Est,Juan Reed,25/3/2016,Junk,9,"12,42","111,78",18
Sara Snyder,New York,Est,Lawrence Ruiz,25/3/2016,Things,1,"17,83","17,83","3,5"
Randy Watson,New York,Est,Robert Hayes,25/3/2016,Widgets,4,"53,35","213,4",24
Frances Warren,New York,Est,Evelyn Greene,25/3/2016,Things,8,"17,83","142,64",28
Frances Warren,Alabama,Est,Henry Cox,26/3/2016,Junk,9,"12,42","111,78",18
Randy Watson,Minnesota,Est,Mary Nelson,26/3/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,Minnesota,Est,Eugene Schmidt,26/3/2016,Junk,6,"12,42","74,52",12
Patrick Graham,Washington,Ouest,Ruby Gonzales,26/3/2016,Widgets,6,"53,35","320,1",36
Frances Warren,New York,Est,Kimberly Little,26/3/2016,Things,2,"17,83","35,66",7
Frances Warren,New York,Est,Louis Marshall,26/3/2016,Things,6,"17,83","106,98",21
Patrick Graham,Nevada,Ouest,Michelle Elliott,26/3/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,Indiana,Est,Marilyn Patterson,26/3/2016,Junk,2,"12,42","24,84",4
Diane Gonzalez,California,Ouest,Martha Bell,26/3/2016,Junk,2,"12,42","24,84",4
Sara Snyder,New York,Est,Gloria Harper,26/3/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,Indiana,Est,Michelle Henderson,26/3/2016,Junk,1,"12,42","12,42",2
Randy Watson,Minnesota,Est,Todd Spencer,26/3/2016,Stuff,6,"16,32","97,92",18
Patrick Graham,Washington,Ouest,Annie Hughes,26/3/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Indiana,Est,Marilyn Patterson,26/3/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,New York,Est,Ruby Matthews,26/3/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,New York,Est,Nancy Stephens,26/3/2016,Things,1,"17,83","17,83","3,5"
Patrick Graham,Washington,Ouest,Joseph Dixon,27/3/2016,Things,3,"17,83","53,49","10,5"
Patrick Graham,Washington,Ouest,Harry Hanson,27/3/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,New York,Est,Daniel Morris,27/3/2016,Junk,6,"12,42","74,52",12
Sara Snyder,New York,Est,Edward Cooper,27/3/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Minnesota,Est,Todd Spencer,27/3/2016,Widgets,7,"53,35","373,45",42
Diane Gonzalez,Washington,Ouest,Beverly Garcia,27/3/2016,Junk,3,"12,42","37,26",6
Patrick Graham,California,Ouest,Evelyn Elliott,27/3/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Indiana,Est,William Hicks,27/3/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Washington,Ouest,Kenneth Gomez,27/3/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Washington,Ouest,Arthur Green,27/3/2016,Junk,5,"12,42","62,1",10
Randy Watson,Minnesota,Est,Phillip Johnston,27/3/2016,Junk,10,"12,42","124,2",20
Sara Snyder,Indiana,Est,Benjamin Willis,27/3/2016,Widgets,1,"53,35","53,35",6
Randy Watson,Minnesota,Est,Kevin Torres,27/3/2016,Junk,7,"12,42","86,94",14
Randy Watson,New York,Est,Joe Ryan,28/3/2016,Junk,6,"12,42","74,52",12
Patrick Graham,Washington,Ouest,Ruth Kennedy,28/3/2016,Junk,1,"12,42","12,42",2
Randy Watson,New York,Est,Betty Stewart,28/3/2016,Stuff,5,"16,32","81,6",15
Randy Watson,Indiana,Est,Randy Willis,28/3/2016,Junk,5,"12,42","62,1",10
Diane Gonzalez,Washington,Ouest,Charles Montgomery,28/3/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,New York,Est,Debra Allen,28/3/2016,Things,3,"17,83","53,49","10,5"
Patrick Graham,Washington,Ouest,Annie Hughes,28/3/2016,Junk,9,"12,42","111,78",18
Diane Gonzalez,California,Ouest,Adam Garza,28/3/2016,Widgets,3,"53,35","160,05",18
Sara Snyder,Minnesota,Est,Carl Ford,28/3/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Indiana,Est,Albert Dunn,28/3/2016,Widgets,6,"53,35","320,1",36
Frances Warren,Indiana,Est,Adam Russell,28/3/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Minnesota,Est,Jerry Butler,29/3/2016,Widgets,6,"53,35","320,1",36
Sara Snyder,Minnesota,Est,Robin Matthews,29/3/2016,Junk,5,"12,42","62,1",10
Patrick Graham,Washington,Ouest,Craig Hicks,29/3/2016,Junk,1,"12,42","12,42",2
Sara Snyder,Minnesota,Est,Carl Howard,29/3/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Minnesota,Est,Eric Robertson,29/3/2016,Junk,9,"12,42","111,78",18
Sara Snyder,New York,Est,Chris Gilbert,29/3/2016,Things,1,"17,83","17,83","3,5"
Frances Warren,Minnesota,Est,Robin Matthews,29/3/2016,Stuff,6,"16,32","97,92",18
Sara Snyder,New York,Est,Lillian Wood,29/3/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,Minnesota,Est,Walter Kennedy,29/3/2016,Things,6,"17,83","106,98",21
Diane Gonzalez,Oregon,Ouest,Gloria Oliver,29/3/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,New York,Est,Ruby Matthews,29/3/2016,Junk,10,"12,42","124,2",20
Patrick Graham,Washington,Ouest,Samuel Daniels,30/3/2016,Stuff,4,"16,32","65,28",12
Diane Gonzalez,Nevada,Ouest,Stephen Rice,30/3/2016,Stuff,10,"16,32","163,2",30
Sara Snyder,Indiana,Est,Cheryl Howard,30/3/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,Alabama,Est,Russell Romero,30/3/2016,Things,6,"17,83","106,98",21
Patrick Graham,California,Ouest,Deborah Gilbert,30/3/2016,Widgets,1,"53,35","53,35",6
Patrick Graham,California,Ouest,Diane Lewis,30/3/2016,Junk,1,"12,42","12,42",2
Sara Snyder,Alabama,Est,Carlos Stephens,30/3/2016,Widgets,3,"53,35","160,05",18
Patrick Graham,Nevada,Ouest,Paula Watson,30/3/2016,Widgets,3,"53,35","160,05",18
Sara Snyder,New York,Est,Edward Cooper,30/3/2016,Things,4,"17,83","71,32",14
Patrick Graham,California,Ouest,Andrew Adams,31/3/2016,Widgets,7,"53,35","373,45",42
Frances Warren,Alabama,Est,William Collins,31/3/2016,Things,9,"17,83","160,47","31,5"
Diane Gonzalez,California,Ouest,Deborah Gilbert,31/3/2016,Things,8,"17,83","142,64",28
Sara Snyder,Alabama,Est,Clarence Mason,31/3/2016,Things,2,"17,83","35,66",7
Sara Snyder,Indiana,Est,Johnny Fowler,31/3/2016,Junk,10,"12,42","124,2",20
Patrick Graham,California,Ouest,Adam Martin,31/3/2016,Stuff,6,"16,32","97,92",18
Sara Snyder,Indiana,Est,Joshua Washington,31/3/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Oregon,Ouest,Julie Gonzalez,31/3/2016,Junk,5,"12,42","62,1",10
Frances Warren,New York,Est,Jessica Lewis,31/3/2016,Things,10,"17,83","178,3",35
Frances Warren,New York,Est,Karen Gray,31/3/2016,Junk,7,"12,42","86,94",14
Randy Watson,New York,Est,Joshua Campbell,31/3/2016,Widgets,8,"53,35","426,8",48
Diane Gonzalez,Washington,Ouest,Stephen Murray,31/3/2016,Junk,6,"12,42","74,52",12
Patrick Graham,Oregon,Ouest,Kathy Lee,31/3/2016,Things,2,"17,83","35,66",7
Sara Snyder,New York,Est,Betty Stewart,31/3/2016,Things,1,"17,83","17,83","3,5"
Sara Snyder,Minnesota,Est,Martha Brown,31/3/2016,Stuff,2,"16,32","32,64",6
Patrick Graham,California,Ouest,Willie Oliver,31/3/2016,Widgets,1,"53,35","53,35",6
Sara Snyder,New York,Est,Albert Miller,1/4/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,Indiana,Est,Dorothy Baker,1/4/2016,Stuff,5,"16,32","81,6",15
Frances Warren,Indiana,Est,Kimberly Coleman,1/4/2016,Stuff,4,"16,32","65,28",12
Randy Watson,Minnesota,Est,Jerry Smith,1/4/2016,Widgets,10,"53,35","533,5",60
Sara Snyder,Indiana,Est,Cynthia Mccoy,1/4/2016,Junk,8,"12,42","99,36",16
Patrick Graham,Washington,Ouest,Henry Sanders,1/4/2016,Junk,9,"12,42","111,78",18
Patrick Graham,Washington,Ouest,Jeremy Baker,1/4/2016,Junk,8,"12,42","99,36",16
Frances Warren,Indiana,Est,Albert Dunn,1/4/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,New York,Est,Robert Hayes,1/4/2016,Junk,4,"12,42","49,68",8
Randy Watson,New York,Est,Cheryl Riley,1/4/2016,Widgets,5,"53,35","266,75",30
Randy Watson,Indiana,Est,Kimberly Coleman,1/4/2016,Widgets,2,"53,35","106,7",12
Patrick Graham,Oregon,Ouest,Clarence Bishop,1/4/2016,Stuff,6,"16,32","97,92",18
Diane Gonzalez,Washington,Ouest,Judy Sanchez,1/4/2016,Stuff,8,"16,32","130,56",24
Patrick Graham,Oregon,Ouest,Gloria Mcdonald,2/4/2016,Junk,9,"12,42","111,78",18
Patrick Graham,Oregon,Ouest,Gary Moreno,2/4/2016,Things,7,"17,83","124,81","24,5"
Frances Warren,Indiana,Est,Kimberly Coleman,2/4/2016,Stuff,7,"16,32","114,24",21
Diane Gonzalez,Washington,Ouest,Joan Austin,2/4/2016,Widgets,3,"53,35","160,05",18
Diane Gonzalez,California,Ouest,Frank Garrett,2/4/2016,Widgets,9,"53,35","480,15",54
Frances Warren,New York,Est,Helen Dean,2/4/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Indiana,Est,Robert Collins,2/4/2016,Junk,2,"12,42","24,84",4
Sara Snyder,New York,Est,Janice Jackson,2/4/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Washington,Ouest,Philip Rodriguez,2/4/2016,Junk,10,"12,42","124,2",20
Sara Snyder,New York,Est,Anthony Berry,2/4/2016,Stuff,3,"16,32","48,96",9
Randy Watson,Alabama,Est,Sara Hawkins,2/4/2016,Widgets,10,"53,35","533,5",60
Sara Snyder,New York,Est,Cynthia Brooks,2/4/2016,Widgets,4,"53,35","213,4",24
Diane Gonzalez,Oregon,Ouest,Gary Moreno,2/4/2016,Things,1,"17,83","17,83","3,5"
Sara Snyder,Alabama,Est,Raymond Clark,2/4/2016,Junk,6,"12,42","74,52",12
Sara Snyder,Minnesota,Est,Lillian Burke,3/4/2016,Junk,5,"12,42","62,1",10
Randy Watson,Minnesota,Est,Alice Davis,3/4/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,New York,Est,Helen Dean,3/4/2016,Junk,5,"12,42","62,1",10
Frances Warren,Minnesota,Est,Joan Cooper,3/4/2016,Things,1,"17,83","17,83","3,5"
Diane Gonzalez,Washington,Ouest,Joseph Willis,3/4/2016,Stuff,6,"16,32","97,92",18
Patrick Graham,Washington,Ouest,Craig Reyes,3/4/2016,Stuff,3,"16,32","48,96",9
Randy Watson,New York,Est,Juan Reed,3/4/2016,Junk,5,"12,42","62,1",10
Diane Gonzalez,Nevada,Ouest,Laura Mcdonald,3/4/2016,Junk,6,"12,42","74,52",12
Sara Snyder,New York,Est,Harold Daniels,3/4/2016,Junk,1,"12,42","12,42",2
Randy Watson,Minnesota,Est,Joshua Diaz,3/4/2016,Things,1,"17,83","17,83","3,5"
Diane Gonzalez,Washington,Ouest,Stephen Murray,4/4/2016,Widgets,1,"53,35","53,35",6
Randy Watson,Minnesota,Est,Eric Robertson,4/4/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Washington,Ouest,Michelle Allen,4/4/2016,Stuff,4,"16,32","65,28",12
Frances Warren,Alabama,Est,Benjamin Phillips,4/4/2016,Things,8,"17,83","142,64",28
Diane Gonzalez,California,Ouest,Gerald Mcdonald,4/4/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,Indiana,Est,Maria Hughes,4/4/2016,Junk,7,"12,42","86,94",14
Randy Watson,New York,Est,Lawrence Ruiz,4/4/2016,Widgets,8,"53,35","426,8",48
Sara Snyder,Minnesota,Est,Susan Watkins,4/4/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Alabama,Est,Clarence Mason,4/4/2016,Widgets,10,"53,35","533,5",60
Sara Snyder,New York,Est,Gloria Harper,5/4/2016,Stuff,1,"16,32","16,32",3
Sara Snyder,Indiana,Est,Dorothy Baker,5/4/2016,Things,7,"17,83","124,81","24,5"
Patrick Graham,Washington,Ouest,Shirley Chavez,5/4/2016,Stuff,6,"16,32","97,92",18
Diane Gonzalez,Washington,Ouest,Jennifer Adams,5/4/2016,Widgets,2,"53,35","106,7",12
Randy Watson,Alabama,Est,Irene Franklin,5/4/2016,Stuff,2,"16,32","32,64",6
Sara Snyder,Minnesota,Est,Kevin Torres,5/4/2016,Widgets,3,"53,35","160,05",18
Diane Gonzalez,California,Ouest,Nicholas Nguyen,5/4/2016,Stuff,5,"16,32","81,6",15
Sara Snyder,New York,Est,Nancy Stephens,5/4/2016,Widgets,3,"53,35","160,05",18
Randy Watson,Indiana,Est,Cynthia Lewis,5/4/2016,Junk,7,"12,42","86,94",14
Randy Watson,Indiana,Est,Harold Matthews,5/4/2016,Widgets,3,"53,35","160,05",18
Randy Watson,Indiana,Est,Ruth Fields,5/4/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Oregon,Ouest,Carl Lawson,5/4/2016,Stuff,4,"16,32","65,28",12
Patrick Graham,California,Ouest,Benjamin Carpenter,5/4/2016,Junk,10,"12,42","124,2",20
Sara Snyder,Minnesota,Est,Aaron Morris,5/4/2016,Widgets,8,"53,35","426,8",48
Randy Watson,New York,Est,Lillian Wood,5/4/2016,Things,1,"17,83","17,83","3,5"
Sara Snyder,New York,Est,Irene Wells,6/4/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,Minnesota,Est,Eugene Schmidt,6/4/2016,Widgets,4,"53,35","213,4",24
Frances Warren,New York,Est,Randy Burton,6/4/2016,Junk,4,"12,42","49,68",8
Frances Warren,New York,Est,Louis Marshall,6/4/2016,Things,4,"17,83","71,32",14
Frances Warren,Minnesota,Est,Ann Duncan,6/4/2016,Junk,10,"12,42","124,2",20
Sara Snyder,New York,Est,Katherine Hayes,6/4/2016,Junk,6,"12,42","74,52",12
Patrick Graham,Washington,Ouest,Arthur Green,6/4/2016,Widgets,6,"53,35","320,1",36
Patrick Graham,Oregon,Ouest,Martha Harper,6/4/2016,Widgets,9,"53,35","480,15",54
Diane Gonzalez,California,Ouest,Andrew Adams,6/4/2016,Stuff,6,"16,32","97,92",18
Randy Watson,Indiana,Est,Rebecca Williams,6/4/2016,Stuff,1,"16,32","16,32",3
Patrick Graham,Oregon,Ouest,Marilyn Franklin,6/4/2016,Junk,6,"12,42","74,52",12
Randy Watson,Minnesota,Est,Eugene Hughes,7/4/2016,Widgets,6,"53,35","320,1",36
Patrick Graham,Oregon,Ouest,Gloria Fisher,7/4/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,Indiana,Est,Jacqueline Wheeler,7/4/2016,Widgets,3,"53,35","160,05",18
Diane Gonzalez,California,Ouest,Dennis Fields,7/4/2016,Widgets,9,"53,35","480,15",54
Randy Watson,Alabama,Est,Debra Gutierrez,7/4/2016,Things,6,"17,83","106,98",21
Patrick Graham,Washington,Ouest,Michelle Allen,7/4/2016,Widgets,1,"53,35","53,35",6
Sara Snyder,Minnesota,Est,Walter Kennedy,7/4/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Indiana,Est,Edward Wells,7/4/2016,Junk,8,"12,42","99,36",16
Patrick Graham,Oregon,Ouest,Teresa Payne,7/4/2016,Stuff,2,"16,32","32,64",6
Sara Snyder,New York,Est,Anna Wheeler,7/4/2016,Junk,3,"12,42","37,26",6
Randy Watson,Minnesota,Est,Shirley Rivera,7/4/2016,Junk,6,"12,42","74,52",12
Patrick Graham,Oregon,Ouest,Roger Bell,7/4/2016,Junk,1,"12,42","12,42",2
Patrick Graham,Washington,Ouest,Denise Henry,7/4/2016,Junk,1,"12,42","12,42",2
Diane Gonzalez,Washington,Ouest,Terry Nguyen,8/4/2016,Junk,6,"12,42","74,52",12
Patrick Graham,California,Ouest,Howard Nelson,8/4/2016,Junk,5,"12,42","62,1",10
Randy Watson,New York,Est,Emily Patterson,8/4/2016,Junk,4,"12,42","49,68",8
Randy Watson,Minnesota,Est,Roy Rivera,8/4/2016,Stuff,4,"16,32","65,28",12
